Number,lemma,Category,Level
517,aperitivo,(s.m.),A2
518,appena,(avv.),A2
519,appetito,(s.m.),A2
520,arancia,(s.f.),A2
521,arancione,(agg.),A2
522,argento,(s.m.),A2
523,aria,(s.f.),A2
524,armadio,(s.m.),A2
525,arrabbiarsi,(v. int. pron.),A2
526,arrivo,(s.m.),A2
527,arrosto,(s.m.),A2
528,articolo,(s.m.),A2
529,ascensore,(s.m.),A2
530,asciugamano,(s.m.),A2
531,asciugare/si,(v.t. – v.rifl. – v.t. pron.),A2
532,attraversare,(v.t.),A2
533,aula,(s.f.),A2
534,auto,(mobile)(s.f.),A2
535,autostrada,(s.f.),A2
536,azzurro,(agg.),A2
537,baciare,(v.t.),A2
538,baffo,(s.m.),A2
539,balcone,(s.m.),A2
540,bambola,(s.f.),A2
541,banana,(s.f.),A2
542,banco,(s.m.),A2
543,barba,(s.f.),A2
544,barca,(s.f.),A2
545,basso,(agg.),A2
546,basta,(inter.),A2
547,benvenuto,(agg.),A2
548,benzina,(s.f.),A2
549,bibita,(s.f.),A2
550,biblioteca,(s.f.),A2
551,bicicletta,(s.f.),A2
552,biglietteria,(s.f.),A2
553,bisogno,(s.m.),A2
554,bistecca,(s.f.),A2
555,bocca,(s.f.),A2
556,bosco,(s.m.),A2
557,braccio,(s.m.),A2
558,brutto,(agg.),A2
559,buio,(s.m.),A2
560,burro,(s.m.),A2
561,calcio,(s.m.),A2
562,calmo,(agg.),A2
563,camminare,(v.int.),A2
564,campeggio,(s.m.),A2
565,camper,(s.m.),A2
566,cantina,(s.f.),A2
567,capo,(s.m.),A2
568,cappello,(s.m.),A2
569,carota,(s.f.),A2
570,casalingo/a,(s.m. – s.f.),A2
571,cassa,(s.f.),A2
572,cattivo,(agg.),A2
573,cavallo,(s.m.),A2
574,centimetro,(s.m.),A2
575,chiaro,(agg.),A2
576,chiedere,(v.t.),A2
577,chilo,(s.m.),A2
578,chilometro,(s.m.),A2
579,cielo,(s.m.),A2
580,cin-cin,(inter.),A2
581,cioccolato,(s.m.),A2
582,circa,(avv.),A2
583,cognato/a,(s.m. - s.f.),A2
584,collana,(s.f.),A2
585,collega,(s.m. - s.f.),A2
586,collina,(s.f.),A2
587,colorare,(v.t.),A2
588,commesso/a,(s.m. - s.f.),A2
589,comodino,(s.m.),A2
590,comodo,(agg.),A2
591,compito,(s.m.),A2
592,completo,(agg.),A2
593,complimento,(s.m.),A2
594,concerto,(s.m.),A2
595,confine,(s.m.),A2
596,congratulazione,(s.f.),A2
597,conoscere,(v.t.),A2
598,contento,(agg.),A2
599,continuare,(v.t.),A2
600,contorno,(s.m.),A2
601,conversazione,(s.f.),A2
602,coperta,(s.f.),A2
603,coppia,(s.f.),A2
604,corpo,(s.m.),A2
605,correggere,(v.t.),A2
606,correre,(v.int.),A2
607,così,(avv.),A2
608,costo,(s.m.),A2
609,cotone,(s.m.),A2
610,credere,(v.t.),A2
611,crema,(s.f.),A2
612,crociera,(s.f.),A2
613,cucinare,(v.t.),A2
614,cugino/a,(s.m. - s.f.),A2
615,cultura,(s.f.),A2
616,cuscino,(s.m.),A2
617,da,(prep.),A2
618,debole,(agg.),A2
619,dente,(s.m.),A2
620,dentifricio,(s.m.),A2
621,dettato,(s.m.),A2
622,dialogo,(s.m.),A2
623,dimenticare/si,(v.t. – v. int. pron.),A2
624,dipingere,(v.t.),A2
625,dipinto,(s.m.),A2
626,direttore/trice,(s.m. - s.f.),A2
627,discoteca,(s.f.),A2
628,disegnare,(v.t.),A2
629,dispiacere,(v.int.),A2
630,distributore,(s.m.),A2
631,dito,(s.m.),A2
632,ditta,(s.f.),A2
633,divano,(s.m.),A2
634,diverso,(agg.),A2
635,divertente,(agg.),A2
636,divertimento,(s.m.),A2
637,divertirsi,(v. rifl.),A2
638,divorziare,(v. int.),A2
639,dizionario,(s.m.),A2
640,dogana,(s.f.),A2
641,dolce,(agg. - s.m.),A2
642,dritto,(avv.),A2
643,durante,(prep.),A2
644,ecco,(locuz.),A2
645,economia,(s.f.),A2
646,elegante,(agg.),A2
647,elementare,(agg.),A2
648,entrata,(s.f.),A2
649,erba,(s.f.),A2
650,errore,(s.m.),A2
651,esame,(s.m.),A2
652,esempio,(s.m.),A2
653,est,(s.m.),A2
654,età,(s.f.),A2
655,etto,(s.m.),A2
656,faccia,(s.f.),A2
657,facoltà,(s.f.),A2
658,fattoria,(s.f.),A2
659,febbre,(s.f.),A2
660,femminile,(agg.),A2
661,fermarsi,(v.int.pron.),A2
662,fermo,(agg),A2
663,ferro,(s.m.),A2
664,fetta,(s.f.),A2
665,fiammifero,(s.m.),A2
666,fidanzato/a,(s.m. - s.f.),A2
667,fine,(s.f.),A2
668,fino,(prep.),A2
669,firma,(s.f.),A2
670,firmare,(v.t.),A2
671,fiume,(s.m.),A2
672,foglio,(s.m.),A2
673,formaggio,(s.m.),A2
674,fornello,(s.m.),A2
675,forno,(s.m.),A2
676,forse,(avv.),A2
677,forte,(agg.),A2
678,fortuna,(s.f.),A2
679,fra,(prep.),A2
680,frase,(s.f.),A2
681,freezer,(s.m.),A2
682,frequentare,(v.t.),A2
683,fresco,(agg.),A2
684,frigorifero,(s.m.),A2
685,fronte,(s.f.),A2
686,fulmine,(s.m.),A2
687,fuoco,(s.m.),A2
688,gamba,(s.f.),A2
689,garage,(s.m.),A2
690,gas,(s.m.),A2
691,gelato,(s.m.),A2
692,genero,(s.m.),A2
693,genitore,(s.m.),A2
694,geografia,(s.f.),A2
695,ghiaccio,(s.m.),A2
696,già,(avv.),A2
697,ginnastica,(s.f.),A2
698,giocattolo,(s.m.),A2
699,gioco,(s.m.),A2
700,giornalista,(s.m. - s.f.),A2
701,girare,(v.int.),A2
702,giro,(s.m.),A2
703,gita,(s.f.),A2
704,giusto,(agg.),A2
705,grado,(s.m.),A2
706,grasso,(agg.),A2
707,gratis,(avv.),A2
708,grigio,(agg.),A2
709,guanto,(s.m.),A2
710,guida,(s.f.),A2
711,guidare,(v.t.),A2
712,idea,(s.f.),A2
713,identità,(s.f.),A2
714,impermeabile,(s.m.),A2
715,impiegato/a,(s.m. - s.f.),A2
716,impossibile,(agg.),A2
717,incontrare/si,(v.t. - v. rifl. recip.),A2
718,indossare,(v.t.),A2
719,infermiere/a,(s.m. - s.f.),A2
720,ingegnere,(s.m. – s.f.),A2
721,iniziare,(v.t. – v.int.),A2
722,inizio,(s.m.),A2
723,insalata,(s.f.),A2
724,insieme,(avv.),A2
725,intorno,(avv.),A2
726,inutile,(agg.),A2
727,invitare,(v.t.),A2
728,isola,(s.f.),A2
729,lampada,(s.f.),A2
730,lana,(s.f.),A2
731,lasciare,(v.t.),A2
732,lavagna,(s.f.),A2
733,lavanderia,(s.f.),A2
734,lavandino,(s.m.),A2
735,lavare/si,(v.t. – v.rifl. – v.t. pron.),A2
736,lavastoviglie,(s.f.),A2
737,lavatrice,(s.f.),A2
738,leggero,(agg.),A2
739,legno,(s.m.),A2
740,lento,(agg.),A2
741,lenzuolo,(s.m.),A2
742,li,(pron.),A2
743,libero,(agg.),A2
744,libreria,(s.f.),A2
745,liscio,(agg.),A2
746,litro,(s.m.),A2
747,livello,(s.m.),A2
748,luce,(s.f.),A2
749,luna,(s.f.),A2
750,luogo,(s.m.),A2
751,ma,(cong.),A2
752,maiale,(s.m.),A2
753,mancia,(s.f.),A2
754,manica,(s.f.),A2
755,mano,(s.f.),A2
756,marrone,(agg.),A2
757,maschile,(agg.),A2
758,matematica,(s.f.),A2
759,materia,(s.f.),A2
760,matrimonio,(s.m.),A2
761,meccanico,(s.m. – s.f.),A2
762,medico,(s.m. – s.f.),A2
763,meglio,(avv.),A2
764,mela,(s.f.),A2
765,mensa,(s.f.),A2
766,merenda,(s.f.),A2
767,messaggio,(s.m.),A2
768,metro,(s.m.),A2
769,mettere/si,(v.t. – v.t. pron.),A2
770,minestra,(s.f.),A2
771,mobile,(s.m.),A2
772,moda,(s.f.),A2
773,moderno,(agg.),A2
774,mondo,(s.m.),A2
775,monumento,(s.m.),A2
776,mostra,(s.f.),A2
777,motorino,(s.m.),A2
778,mucca,(s.f.),A2
779,muovere/si,(v.t. – v. rifl.),A2
780,muro,(s.m.),A2
781,naso,(s.m.),A2
782,natura,(s.f.),A2
783,nave,(s.f.),A2
784,nebbia,(s.f.),A2
785,nervoso,(agg.),A2
786,neve,(s.f.),A2
787,nevicare,(v.int.),A2
788,nipote,(s.m. - s.f.),A2
789,noioso,(agg.),A2
790,noleggiare,(v.t.),A2
791,nord,(s.m.),A2
792,normale,(agg.),A2
793,nostalgia,(s.f.),A2
794,nostro,(agg. - pron.),A2
795,nuora,(s.f.),A2
796,nuotare,(v.int.),A2
797,nuoto,(s.m.),A2
798,nuvola,(s.f.),A2
799,nuvoloso,(agg.),A2
800,occhio,(s.m.),A2
801,odore,(s.m.),A2
802,offrire,(v.t.),A2
803,oggetto,(s.m.),A2
804,ogni,(agg.),A2
805,ok,(inter.),A2
806,operaio/a,(s.m. - s.f.),A2
807,orario,(s.m.),A2
808,ordinare,(v.t.),A2
809,orecchio,(s.m.),A2
810,organizzare,(v.t.),A2
811,oro,(s.m.),A2
812,ospite,(s.m. - s.f.),A2
813,ovest,(s.m.),A2
814,padella,(s.f.),A2
815,padrone/a,(s.m. - s.f.),A2
816,pagina,(s.f.),A2
817,paio,(s.m.),A2
818,palazzo,(s.m.),A2
819,palestra,(s.f.),A2
820,palla,(s.f.),A2
821,pallacanestro,(s.f.),A2
822,panino,(s.m.),A2
823,parente,(s.f.),A2
824,parete,(s.f.),A2
825,parte,(s.f.),A2
826,partenza,(s.f.),A2
827,partita,(s.f.),A2
828,passare,(v.t.),A2
829,passato,(s.m.- agg.),A2
830,passeggiare,(v.int.),A2
831,passeggiata,(s.f.),A2
832,pasto,(s.m.),A2
833,patata,(s.f.),A2
834,patente,(s.f.),A2
835,paura,(s.f.),A2
836,pausa,(s.f.),A2
837,pavimento,(s.m.),A2
838,peccato,(s.m.),A2
839,pelle,(s.f.),A2
840,pensare,(v.int.),A2
841,pensione,(s.f.),A2
842,pentola,(s.f.),A2
843,pera,(s.f.),A2
844,perdere,(v.t.),A2
845,periferia,(s.f.),A2
846,persona,(s.f.),A2
847,pesante,(agg.),A2
848,pescare,(v.t.),A2
849,pettine,(s.m.),A2
850,pezzo,(s.m.),A2
851,piangere,(v.int.),A2
852,piede,(s.m.),A2
853,pieno,(agg.),A2
854,pigro,(agg.),A2
855,pioggia,(s.f.),A2
856,pipa,(s.f.),A2
857,piscina,(s.f.),A2
858,pisello,(s.m.),A2
859,plurale,(agg.),A2
860,poi,(avv.),A2
